FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-08-04,84.60,43.86,54.50,129.60,107.60,26.12,-1.00,-0.41,-0.16
01-09-04,49.75,50.28,86.00,236.40,86.40,26.15,-0.33,0.78,-0.53
01-10-04,56.35,42.15,84.00,203.10,112.10,26.17,-0.38,0.41,-0.08
01-11-04,58.82,51.22,128.40,310.20,150.20,26.26,0.56,1.61,0.59
01-12-04,90.94,49.04,140.10,162.23,120.14,26.18,0.81,0.00,0.00
01-01-05,35.75,16.36,59.00,150.72,51.30,26.38,-0.90,0.00,-1.15
01-02-05,100.45,102.42,146.60,157.55,85.70,26.64,0.95,0.00,-0.55
01-03-05,169.51,149.97,219.00,173.29,159.40,26.96,2.47,0.00,0.75
01-04-05,114.30,106.29,115.80,175.93,227.00,27.29,0.30,0.00,1.94
01-05-05,67.55,46.89,91.30,158.05,96.30,27.37,-0.22,0.00,-0.36
01-06-05,174.08,99.43,125.00,175.41,164.90,26.85,0.49,0.00,0.85
01-07-05,115.19,71.62,40.60,162.19,90.20,26.32,-1.29,0.00,-0.47
01-08-05,51.90,36.17,35.70,154.50,44.60,26.42,-1.39,0.00,-1.27
01-09-05,65.93,28.64,43.90,156.38,78.90,25.81,-1.22,0.00,-0.66
01-10-05,99.41,44.23,55.80,153.31,43.80,25.88,-0.97,0.00,-1.28
01-11-05,99.41,37.92,73.60,161.38,158.40,25.89,-0.59,0.00,0.73
01-12-05,99.41,67.80,210.90,167.31,122.54,25.96,2.30,0.00,0.00
